wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2B,RT,LL#1,"Tuesday, 08/26",Welcome to Career Rotation,,Welcome & What to Expect,Pre-Experience Self Reflection,
2B,RT,LL#2,"Thursday, 08/28",Branding with Fresh Monster,,Branding / charity: water,Week 1 Project: Design a Landing Page for charity: water,
2B,RT,LL#3,"Tuesday, 09/02",What is a Web Developer,,,,
2B,RT,LL#4,"Thursday, 09/04",Nomadiq's Travel Destinations  ,,Building a Website / charity: water ,Week 2 Project: Build a Landing Page for charity: water,
2B,RT,LL#5,"Tuesday, 09/09",Story Circles,,,,
2B,RT,LL#6,"Thursday, 09/11",The National Park Service,,Analyzing Data / Intel,Week 3 Project: Sustainability Impact Analysis for Intel,
2B,RT,LL#7,"Tuesday, 09/16",What is a Data Analyst?,,,,
2B,RT,LL#8,"Thursday, 09/18",Critiquing Visualizations,,Visualizing Data / Intel,Week 4 Project: Tell a Data Story for Intel's Sustainability Report & LevelUp: NYC Film Data Analysis (20pts Extra Credit),
2B,RT,LL#9,"Tuesday, 09/23",Your Future with AI,,Practical Gen AI Foundations,,
2B,RT,LL#10,"Thursday, 09/25",Crafting Your AI Arsenal,,,Week 5 Project: AI and Your Future,
2B,RT,LL#11,"Tuesday, 09/30",LinkedIn Workshop,,,,
2B,RT,LL#12,"Thursday, 10/02","Your brand, Your Story",,,Career Milestone: Is Your Resume Ready? Ask Bodhi!,
2B,RT,LL#1,"Tuesday, 10/07",Party Snaps: Ad Creatives,,,,
2B,RT,LL#2,"Thursday, 10/09",What is a Digital Marketer,,Social Media Strategy / The Grammys,Project: Social Media Campaign & Analytics / The Grammys 🎵,
2B,RT,LL#3,"Tuesday, 10/14",BuzzFeed: A/B Testing,,,Career Milestone: Job Qualifications Analysis,
2B,RT,LL#4,"Thursday, 10/16",Searching for New Audiences,,A/B Testing / The Grammys 🎵,Project: A/B Testing for The Grammys 🎵,
2B,RT,LL#5,"Tuesday, 10/21",SEO with SEMrush,,,,
2B,RT,LL#6,"Thursday, 10/23",Bombas: SEO Keyword Trends & Meta Data,,Get to Know SEMrush,Get your Semrush Certificate!,
2B,RT,LL#7,"Tuesday, 10/28",Climb Together Workshop,,,,
2B,RT,LL#8,"Thursday, 10/30",User Experience and Prioritization ,,Search Engine Optimization (SEO) / L'Oréal ,Project: SEO Optimized Content,
2B,RT,LL#9,"Tuesday, 11/04",Company Panel,,,Career Milestone: Is Your Resume Ready? Ask Bodhi!,
2B,RT,LL#10,"Thursday, 11/06",CareerReady Workshop,,UX Research and Design / L'Oréal,Project: Skincare Confidence by Design,
2B,RT,LL#11,"Tuesday, 11/11 SKIPPED FOR HOLIDAY!",HOLIDAY,,Your Future Awaits,,
2B,RT,LL#12,"Thursday, 11/13",Wrap Up + Reflections,,,Project: Apply and Reflect & Global Career Readiness - Self Reflection,
