wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
1B,RT,LL#1,"Tuesday, 08/26",Welcome to Career Rotation,,Welcome & What to Expect,Pre-Experience Self Reflection,
1B,RT,LL#2,"Thursday, 08/28",Branding with Fresh Monster,,Branding / charity: water,Week 1 Project: Design a Landing Page for charity: water,
1B,RT,LL#3,"Tuesday, 09/02",What is a Web Developer,,,,
1B,RT,LL#4,"Thursday, 09/04",Nomadiq's Travel Destinations  ,,Building a Website / charity: water ,Week 2 Project: Build a Landing Page for charity: water,
1B,RT,LL#5,"Tuesday, 09/09",Story Circles,,,,
1B,RT,LL#6,"Thursday, 09/11",The National Park Service,,Analyzing Data / Intel,Week 3 Project: Sustainability Impact Analysis for Intel,
1B,RT,LL#7,"Tuesday, 09/16",What is a Data Analyst?,,,,
1B,RT,LL#8,"Thursday, 09/18",Critiquing Visualizations,,Visualizing Data / Intel,Week 4 Project: Tell a Data Story for Intel's Sustainability Report & LevelUp: NYC Film Data Analysis (20pts Extra Credit),
1B,RT,LL#9,"Tuesday, 09/23",Your Future with AI,,Practical Gen AI Foundations,,
1B,RT,LL#10,"Thursday, 09/25",,,,Week 5 Project: AI and Your Future,
1B,RT,LL#11,"Tuesday, 09/30",LinkedIn Workshop,,,,
1B,RT,LL#12,"Thursday, 10/02",,,,Career Milestone: Is Your Resume Ready? Ask Bodhi!,
1B,RT,LL#1,"Thursday, 10/16",,,,,
1B,RT,LL#2,"Tuesday, 10/21",,,,,
1B,RT,LL#3,"Thursday, 10/23",,,,,
1B,RT,LL#4,"Tuesday, 10/28",,,,,
1B,RT,LL#5,"Thursday, 10/30",,,,,
1B,RT,LL#6,"Tuesday, 11/04",,,,,
1B,RT,LL#7,"Thursday, 11/06",,,,,
1B,RT,LL#8,"Tuesday, 11/11 SKIPPED FOR HOLIDAY!",,,,,
1B,RT,LL#9,"Thursday, 11/13",,,,,
1B,RT,LL#10,"Tuesday, 11/18",,,,,
1B,RT,LL#11,"Thursday, 11/20",,,,,
1B,RT,LL#12,"Tuesday, 11/25",,,,,
