wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
1B,DM,LL#1,"Tuesday, 08/26",Welcome to the Global Career Accelerator,,The Welcome & What To Expect,Pre-Experience Self Reflection,
1B,DM,LL#2,"Thursday, 08/28",Intro to eCommerce,,Skillbuilder 1,Milestone 1 & Setup Your Shopify Store ,
1B,DM,LL#3,"Tuesday, 09/02",Story Circles,,Global Skillbuilder: Seeking Other Stories,Career Milestone 1,
1B,DM,LL#4,"Thursday, 09/04",Design and Build A Website,,Skillbuilder 2,Milestone 2,
1B,DM,LL#5,"Tuesday, 09/09",Brand Voice & Visuals,,Skillbuilder 3 Skillbuilder 4,Milestone 3/4 & Get Your Semrush Certificate ,
1B,DM,LL#6,"Thursday, 09/11",SEO Keyword Research,,Skillbuilder 5 + SEMrush Setup & Certificate,Milestone 5,
1B,DM,LL#7,"Tuesday, 09/16",SEO Meta Data,,Skillbuilder 6,Milestone 6 & Meta Ads Setup,
1B,DM,LL#8,"Thursday, 09/18",Conversation Rate Optimization,,Skillbuilder 7,Milestone 7 ,
1B,DM,LL#9,"Tuesday, 09/23",Offers & Promos / AB Testing,,Skillbuilder 8 Skillbuilder 9,Milestone 8/9,
1B,DM,LL#10,"Thursday, 09/25",Emails ,,Skillbuilder 10: Emails for eCommerce,Milestone 10 ,
1B,DM,LL#11,"Tuesday, 09/30",Career Session: LinkedIn,,,Career Milestone 2 ,
1B,DM,LL#12,"Thursday, 10/02",Portfolio Work Day,,,Portfolio Project,
1B,DM,LL#1,"Thursday, 10/16",,,,,
1B,DM,LL#2,"Tuesday, 10/21",,,,,
1B,DM,LL#3,"Thursday, 10/23",,,,,
1B,DM,LL#4,"Tuesday, 10/28",,,,,
1B,DM,LL#5,"Thursday, 10/30",,,,,
1B,DM,LL#6,"Tuesday, 11/04",,,,,
1B,DM,LL#7,"Thursday, 11/06",,,,,
1B,DM,LL#8,"Tuesday, 11/11 SKIPPED FOR HOLIDAY!",,,,,
1B,DM,LL#9,"Thursday, 11/13",,,,,
1B,DM,LL#10,"Tuesday, 11/18",,,,,
1B,DM,LL#11,"Thursday, 11/20",,,,,
1B,DM,LL#12,"Tuesday, 11/25",,,,,
