wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2C,RT,LL#1,"Wednesday, 08/27",Welcome to Career Rotation,,Welcome & What to Expect,Pre-Experience Self Reflection,
2C,RT,LL#2,"Friday, 08/29",Branding with Fresh Monster,,Branding / charity: water,Week 1 Project: Design a Landing Page for charity: water,
2C,RT,LL#3,"Wednesday, 09/03",What is a Web Developer,,,,
2C,RT,LL#4,"Friday, 09/05",Nomadiq's Travel Destinations  ,,Building a Website / charity: water ,Week 2 Project: Build a Landing Page for charity: water,
2C,RT,LL#5,"Wednesday, 09/10",Story Circles,,,,
2C,RT,LL#6,"Friday, 09/12",The National Park Service,,Analyzing Data / Intel,Week 3 Project: Sustainability Impact Analysis for Intel,
2C,RT,LL#7,"Wednesday, 09/17",What is a Data Analyst?,,,,
2C,RT,LL#8,"Friday, 09/19",Critiquing Visualizations,,Visualizing Data / Intel,Week 4 Project: Tell a Data Story for Intel's Sustainability Report & LevelUp: NYC Film Data Analysis (20pts Extra Credit),
2C,RT,LL#9,"Wednesday, 09/24",Your Future with AI,,Practical Gen AI Foundations,,
2C,RT,LL#10,"Friday, 09/26",Crafting Your AI Arsenal,,,Week 5 Project: AI and Your Future,
2C,RT,LL#11,"Wednesday, 10/01",LinkedIn Workshop,,,,
2C,RT,LL#12,"Friday, 10/03","Your brand, Your Story",,,Career Milestone: Is Your Resume Ready? Ask Bodhi!,
2C,RT,LL#1,"Wednesday, 10/08",Party Snaps: Ad Creatives,,,,
2C,RT,LL#2,"Friday, 10/10",What is a Digital Marketer,,Social Media Strategy / The Grammys,Project: Social Media Campaign & Analytics / The Grammys 🎵,
2C,RT,LL#3,"Wednesday, 10/15",BuzzFeed: A/B Testing,,,Career Milestone: Job Qualifications Analysis,
2C,RT,LL#4,"Friday, 10/17",Ask Me Anything (Optional Lab),,A/B Testing / The Grammys 🎵,Project: A/B Testing for The Grammys 🎵,
2C,RT,LL#5,"Wednesday, 10/22",Searching for New Audiences,,,,
2C,RT,LL#6,"Friday, 10/24",SEO with SEMrush,,Get to Know SEMrush,Get your Semrush Certificate!,
2C,RT,LL#7,"Wednesday, 10/29",Climb Together Workshop,,,,
2C,RT,LL#8,"Friday, 10/31",Bombas: SEO Keyword Trends & Meta Data,,Search Engine Optimization (SEO) / L'Oréal ,Project: SEO Optimized Content,
2C,RT,LL#9,"Wednesday, 11/05",User Experience and Prioritization ,,,Career Milestone: Is Your Resume Ready? Ask Bodhi!,
2C,RT,LL#10,"Friday, 11/07",Company Panel,,UX Research and Design / L'Oréal,Project: Skincare Confidence by Design,
2C,RT,LL#11,"Wednesday, 11/12",CareerReady Workshop,,,,
2C,RT,LL#12,"Friday, 11/14",Wrap Up + Reflections,,Your Future Awaits,Project: Apply and Reflect & Global Career Readiness - Self Reflection,
